Index,Fuel Type Code,Street Address,State,Latitude,Longitude
11413,ELEC,2909 Brush Creek Rd,CO,39.220459,-106.93193
11414,ELEC,4001 53rd Ave S,ND,46.802713,-96.849915
11415,ELEC,2304 Main St,ID,43.622228,-116.218682
11416,ELEC,2075 Holliday Dr,IA,42.511499,-90.742655
11417,ELEC,281 Broadway,MA,42.407851,-71.013106
11418,ELEC,20 Riverside Dr,MA,41.876114,-70.921574
11419,E85,14685 Robert Trail S,MN,44.736923,-93.126478
11420,ELEC,144 W 2nd St,WI,44.278826,-88.271885
11421,ELEC,206-228 NJ-31,NJ,40.487718,-74.862306
11422,LPG,2840 US Highway 82 W,GA,31.54409964,-83.88140301
11423,CNG,15668 N Highway 83,TX,27.7695094,-99.4462602
11424,ELEC,736 Barton Springs Rd,TX,30.259705,-97.752496
11425,ELEC,209 E Kern St,CA,35.140839,-119.448704
11426,ELEC,7503 N Superior,WA,48.537035,-121.758653
11427,ELEC,909 Main St @ Lexington Tourism Bureau,MO,39.185106,-93.88408
11428,ELEC,325 The Bridge St,AL,34.715732,-86.674694
11429,E85,1925 N Henderson St,IL,40.971199,-90.382949
11430,ELEC,N 3rd St and Washington,IA,40.811101,-91.10168
11431,ELEC,14061 Riverside Dr,CA,34.1581031,-118.439442
11432,ELEC,18721 Parthenia St,CA,34.2287165,-118.5414324
11433,ELEC,4030 Crenshaw Blvd,CA,34.01223,-118.334323
11434,ELEC,9615 S Central Ave,CA,33.9493637,-118.2538307
11435,ELEC,12300 Nebraska Ave,CA,34.0344842,-118.459616
11436,ELEC,5809 W 44th Ave,CO,39.77886,-105.059865
11437,ELEC,1500 Central Park Commons Dr,MN,44.83405,-93.170682
11438,ELEC,507 7th St,MD,39.103811,-76.856556
11439,ELEC,906 Redwood Dr,CA,40.098333,-123.795397
11440,ELEC,650 O'Keefe Ave,LA,29.948619,-90.0748
11441,ELEC,412 O'Keefe Ave,LA,29.950924,-90.073689
11442,ELEC,8640 Oak St,LA,29.95113,-90.134865
11443,LPG,604-B N Broadfoot Blvd,GA,32.218033,-82.395955
11444,LPG,9387 Ocean Gateway,MD,38.807372,-76.056406
11445,LPG,121 W Main St,DE,39.009026,-75.577514
11446,LPG,22945 E Piney Grove Rd,DE,38.620643,-75.339561
11447,E85,801 2nd Ave,OH,38.813178,-82.196708
11448,ELEC,1839 Morganton Blvd SW,NC,35.896887,-81.558321
11449,ELEC,9001 Riley St,MI,42.829763,-86.006108
11450,ELEC,3420 Norman Berry Dr,GA,33.662898,-84.428118
11452,LPG,209 S Liberty St,GA,33.078871,-82.006068
11453,LPG,22801 Highway 80 E,GA,32.425416,-81.73599
11454,LPG,2139 Gordon Hwy,GA,33.450362,-82.078676
11455,ELEC,75 Towne Ridge Parkway,UT,40.574722,-111.893125
11456,ELEC,5 Research Dr,SC,34.814288,-82.326987
11457,ELEC,121 Mill St,OH,40.020921,-82.879631
11458,ELEC,1624 W Plum St,CO,40.577692,-105.103101
11459,ELEC,2300 Waukegan Rd,IL,42.11014,-87.802433
